w1       68000 read (any size)
w416     ~reg_8c_b4 & reg_80_b0 (related to sprites?)
w419     Lets you force hscroll table fetch when reg_test1[6:4] == 3'h5
w421     ??? Hsync for mode 4? Selects something depending on w427 (reg $00 bit 3 set in mode 5)
w422     Status port HB bit (0 = not in hblank, 1 = in hblank)
w423     H Timing signal: start of hsync
w425     w416 & ~reg_81_b0 => ~reg_8c_b4 & reg_80_b0 & ~reg_81_b0 (related to sprites?)
w427     ??? Reg $00 bit 3 set in mode 5 (isn't it unused there?)
w428     Value to use V counter when it wraps around
w429     (used to compute w428, see above)
w430     (used to compute w428, see above)
w431     (used to compute w428, see above)
w432     (used to compute w428, see above)
w433     (used to compute w428, see above)
w434     (used to compute w428, see above)
w435     (used to compute w428, see above)
w436     Do V counter increment
w437     Do V counter wraparound
w439     Status port VB bit (0 = active scan, 1 = passive scan)
w446     Status port ODD bit (0 = even field, 1 = odd field)
w457     Start of vblank (opposite of w469, latched from l170), also latches interlaced mode
w458     Reset OR start of vblank
w466     Opposite of w439 (1 = active scan, 0 = passive scan)
w467     V Timing signal: V counter wraparound point
w468     V Timing signal: (low logic) end of vblank / start of vertical visible area
w469     V Timing signal: (low logic) start of vblank / end of vertical visible area
w470     V Timing signal: end of bottom border / start of bottom TV blank
w471     V Timing signal: start of top border / end of top TV blank
w472     V Timing signal: start of vsync (always 3 lines before w473)
w473     V Timing signal: end of vsync / start of top TV vblank
w474     V Timing signal: ??? (always 3 lines after w473, end of the extra sync pulses maybe?)
w475     V Timing signal: (low logic) line 511
w476     H Timing signal: refresh slot (goes to l108)
w477     H Timing signal: fetch plane A tilemap data
w478     H Timing signal: fetch plane B tilemap data
w479     H Timing signal: fetch plane A or B tile data (1st half)
w480     H Timing signal: fetch plane A or B tile data (2nd half)
w481     H Timing signal: fetch sprite X and tile ID
w482     H Timing signal: fetch sprite tile (fed into l141)
w483     H Timing signal: odd pixels (for what is this used?)
w484     H Timing singal: m4 sprite tile fetch (1st half)
w485     H Timing signal: m4 sprite X / tile ID fetches? (active scan only, passive scan is weird) (to l155)
w486     H Timing signal: m4 sprite Y fetches?
w487     H Timing signal: m4 fetch sprite Y data???, m5 scan sprite Y data? (fed into l147)
w488     H Timing signal: ??? (fetch hscroll table?)
w493     H Timing signal: start of horizontal display (end of left border)
w494     H Timing signal: end of horizontal display (start of right border)
w495     H Timing signal: start of hblank
w496     H Timing signal: end of hblank
w499     H Timing signal: end of equalization pulse (11px early?)
w500     H Timing signal: start of hsync (11px early), start of back porch (2px early)
w501     H Timing signal: end of hsync (11px early)
w502     H Timing signal: increment V counter (low logic)
w504     H Timing signal: H counter = 0
w505     H Timing signal: VSRAM read in full vscroll? (low logic), when F flag is cleared in SMS mode
w506     H Timing signal: VSRAM read in column vscroll? (H counter is multiple of 8px (0, 8, 16, 24...504))
w507     H Timing signal: H counter multiple of 8px + 7 (mode 4), multiple of 16px + 7 (mode 5)
w508     H Timing signal: H counter multiple of 16px + 15
w510     H Timing signal: 3px after sprite X & tile ID fetch in mode 5 (to l145)
w512     H Timing signal: H counter multiple of 16px + 3
w515     VScroll value to work with (VSRAM output in mode 5, register $09 in mode 4)
w516     Set to latch a VSRAM read into l180
w519     Clear when vscroll inhibit should kick in, set otherwise
w522     Y coordinate to access in the tilemap (before interlaced mode adjustment)
w523     Set if plane A/B size is 32 tiles (reg_hsz == 2'h0)
w524     Set if plane A/B size is 64 tiles (reg_hsz == 2'h1)
w525     Set if plane A/B size is 128 tiles (reg_hsz == 2'h3)
w526     Y coordinate to access in the tilemap (before wraparound, accounting for IM2)
w527     Offset to access in the tilemap (X and Y merged)
w528     Actual Y coordinate to access in the tilemap (see w527)
w529     Same as w530 (see below) in mode 4, forced to 0 in mode 5 (used for calculating w528)
w530     Do Y scroll wraparound? (for mode 4, goes to w529)
w531     Set to output tilemap fetch address bits 16:14 on VRAM address bus
w532     Plane address bits 16:13 (put on VRAM bus) / Either m5 plane A or B address bits 16:13 (depending on l200)
w533     Plane address bits 12:11 (put on VRAM bus) / Either (m4) plane A or (m5) address bits 12:11
w534     Set when H counter is not within 384..511
w535     Hscroll line to read (after applying hscroll mode bits)
w536     X offset within window tilemap (accounts for H32 or H40)
w537     Which hscroll line to fetch? (drops LSB of logical Y coordinate, should match l105[7:0])
w542     Latch window X register (into l187 and l188)
w543     Latch window Y register (w/o test register, into w544)
w544     Latch window Y register (into l189 and l190)
w545     Which side of window Y split? (1: above, 0: below)
w546     Which side of window X split? (0: left, 1: right)
w547     V counter increment OR test reg1 b7 (same as w542)
w552     Set if hscroll inhibit should kick in (in mode 4)
w553     Clear to latch hscroll for plane A in mode 4
w554     Hscroll value to use when fetching, INVERTED (i.e. NOT'd)
w555     Actual X coordinate to access in the tilemap (upper bits used in w527, lower bits in VRAM address bus)
w558     Set to output tilemap fetch address bits 13:0 on VRAM address bus
w561     Set if in left/right border (H32: H counter >= 256; H40: >= 320)
w562     Set if in viewport horizontally and in mode 4
w563     Set if w562 and odd tile (H counter = multiple of 16px + 8px)
w565     In viewport horizontally: current 16px column; in border: 4'b1111
w566     VRAM address output enable: bits 16:14 of plane A/B tile fetch
w568     H counter >= 320
w569     Set on VSRAM bus access
w570     Set to latch from VRAM to plane A hscroll bits 7:0 (see l191)
w571     Set to latch from VRAM to plane A hscroll bits 9:8 (see l194)
w572     Set to latch from VRAM to plane B hscroll bits 7:0 (see l192)
w573     Set to latch from VRAM to plane B hscroll bits 9:8 (see l195)
w574     Set to use hscroll for plane A in mode 5
w575     Set to use hscroll for plane B in mode 5
w576     Bits 4:2 of plane A/B tile address to fetch before vflip
w577     Bits 4:2 of plane A/B tile address to fetch
w578     Bits 13:5 of plane A/B 1st tile address to fetch
w579     Bits 16:14 of plane A/B 1st tile address to fetch
w580     Bits 16:5 of plane A/B 2nd tile address to fetch
w581     Mux: plane A or B tile bank (address MSB)
w583     *Actual* plane A/B vflip flag in effect (I think it throws in test register?)
w584     Plane A/B hflip flag (read from VRAM), adjusted for mode 4/5
w585     Plane A/B vflip flag (read from VRAM), adjusted for mode 4/5
w586     Plane A/B palette flags (read from VRAM), adjusted for mode 4/5
w587     Plane A/B priority flag (read from VRAM), adjusted for mode 4/5
w592     ??? (copies l223..l226 to l232..l235, l243..l246 to l255..l258, l259 to l260 when set)
w606     Which pixel within a tile to show for plane A
w607     Plane A color index to show (to l269)
w611     ??? (copies l232..l235 to l237..l240, l260 to l265 when set)
w615     Set to latch lower byte of plane A/B 1st tilemap fetch
w616     Set to latch upper byte of plane A/B 1st tilemap fetch
w617     Set to latch lower byte of plane A/B 2nd tilemap fetch
w618     Set to latch upper byte of plane A/B 2nd tilemap fetch
w619     [???] (set to latch 1st byte of something into l278, tile fetch?)
w620     [???] (set to latch 2nd byte of something into l277, tile fetch?)
w621     [???] (set to latch 3rd byte of something into l276, tile fetch?)
w622     [???] (set to latch 4th byte of something into l275, tile fetch?)
w623     NOT column vscroll (i.e. mode 5 full vscroll or mode 4)
w624     Set if H counter is multiple of 16px if full vscroll, or if offset +8 if column vscroll
w625     Vscroll column to read from VSRAM
w626     VSRAM addres to access (goes to l212)
w640     [???] (set to start the sequence for w619..w622)
w641     Which pixel of plane B tile to show? (0 to 7)
w642     Lets you force a hscroll table fetch when reg_test1[7] == 1 and HL
w646     Set if plane A is opaque
w647     Plane B color index to show (to l318)
w648     Set if plane B is opaque
w655     Set if sprite link == 127 (inverted?)
w656     Sprite height bit 1?
w657     Sprite height bit 0?
w663     Set if sprite height == 1 tile
w664     Set if sprite height == 3 tiles
w683     Set to load next sprite link (in mode 5) into sprite ID (l351)
w684     Set to output sprite table offset for sprite Y in VRAM address bus in mode 4, also increments sprite ID (l351)
w687     Set to latch 4th byte of cacheable sprite entry (link)
w688     Set to latch 3rd byte of cacheable sprite entry (size)
w689     Set to latch 1st byte of cacheable sprite entry (Y bits 9:8)
w690     Set to latch 2nd byte of cacheable sprite entry (Y bits 7:0)
w693     Is VRAM address within sprite cache range (upper byte) (goes to l363)
w694     Is VRAM address within sprite cache range (lower byte) (goes to l364)
w695     [???] SAT index to read?
w696     Sprite index to access (to l398)
w705     reg_test_18[6:5] == 2 (low logic) Use latched sprite [other] for w770
w706     reg_test_18[6:5] == 1 (low logic) Use latched sprite pattern l425 for w770
w707     reg_test_18[6:5] == 0 (low logic) Use latched sprite X coordinate for w770
w717     (part of w738 logic, test register use only)
w732     [???] (from w738, throws in more test register stuff)
w738     [???] w717 when reg_test0[14] == 0
w740     Is VRAM address within sprite table range
w741     Is VRAM address within sprite cache range
w742     Timing signal: sprite tile fetch for mode 4 (enables VRAM bus)
w751     Timing signal: sprite tile fetch for mode 4 (unfilitered, goes to w742)
w752     Sprite index to access (from l400, latched to l403..l409)
w754     Timing signal: sprite table fetch for mode 4? (l411 and l412, enables VRAM bus)
w755     Timing signal: sprite table fetch for mode 4? (l412 only)
w756     Timing signal: sprite table fetch for mode 5? (enables VRAM bus)
w757     Bottom 7 bits of mode 5 sprite table address to access
w759     [???] l426 & reg_test0[12] (related to source of sprite X? what's l426?)
w760     [???] l426 & ~reg_test0[12] (related to source of sprite X? what's l426?)
w770     Debug: sprite metadata (yoffset[2:0],height[1:0],width[1:0],pri,pal[1:0],hflip), pattern or X
w771     [???] Set if sprite with is 4 tiles?
w772     [???]
w776     [???] ~(~reg_m5 | w772)
w781     Sprite tile fetch for mode 5 (sets l428 which enables VRAM bus)
w782     [???] Set if sprite X is not 0
w809     in M4 = H counter + $1F4 + 1, in M5 = H counter + $1ED + 1
w817     Line buffer write enable (global)
w819     hclk2 only if display enabled (low logic)
w825     Line buffer address
w910     Line buffer write enable pixel #0
w911     Line buffer write enable pixel #1
w912     Line buffer write enable pixel #2
w913     Line buffer write enable pixel #3
w914     Line buffer write enable pixel #4
w915     Line buffer write enable pixel #5
w916     Line buffer write enable pixel #6
w917     Line buffer write enable pixel #7
w918     Old sprite data pixel #0 opaque
w919     Old sprite data pixel #1 opaque
w920     Old sprite data pixel #2 opaque
w921     Old sprite data pixel #3 opaque
w922     Old sprite data pixel #4 opaque
w923     Old sprite data pixel #5 opaque
w924     Old sprite data pixel #6 opaque
w925     Old sprite data pixel #7 opaque
w934     New sprite data pixel #0 opaque
w935     New sprite data pixel #1 opaque
w936     New sprite data pixel #2 opaque
w937     New sprite data pixel #3 opaque
w938     New sprite data pixel #4 opaque
w939     New sprite data pixel #5 opaque
w940     New sprite data pixel #6 opaque
w941     New sprite data pixel #7 opaque
w942     Can sprite pixel #0 be rewritten?
w943     Can sprite pixel #1 be rewritten?
w944     Can sprite pixel #2 be rewritten?
w945     Can sprite pixel #3 be rewritten?
w946     Can sprite pixel #4 be rewritten?
w947     Can sprite pixel #5 be rewritten?
w948     Can sprite pixel #6 be rewritten?
w949     Can sprite pixel #7 be rewritten?
w950     Always 0, would have selected between sprite underdraw or overdraw
w951     ~w820
w952     reg_test_18[7:6] == 2'h0 (debug, selects a pair of sprite layer pixels?)
w953     reg_test_18[7:6] == 2'h1 (debug, selects a pair of sprite layer pixels?)
w954     reg_test_18[7:6] == 2'h2 (debug, selects a pair of sprite layer pixels?)
w955     reg_test_18[7:6] == 2'h3 (debug, selects a pair of sprite layer pixels?)
w956     Palette bit 0 of chosen sprite layer pixel (even)
w957     Palette bit 1 of chosen sprite layer pixel (even)
w958     Priority bit of chosen sprite layer pixel (even)
w959     Color bit 0 of chosen sprite layer pixel (even)
w960     Color bit 1 of chosen sprite layer pixel (even)
w961     Color bit 2 of chosen sprite layer pixel (even)
w962     Color bit 3 of chosen sprite layer pixel (even)
w963     Palette bit 0 of chosen sprite layer pixel (odd)
w964     Palette bit 1 of chosen sprite layer pixel (odd)
w965     Priority bit of chosen sprite layer pixel (odd)
w966     Color bit 0 of chosen sprite layer pixel (odd)
w967     Color bit 1 of chosen sprite layer pixel (odd)
w968     Color bit 2 of chosen sprite layer pixel (odd)
w969     Color bit 3 of chosen sprite layer pixel (odd)
w970     Sprite layer palette from line buffer? (affected by mode 5, involves a latch and "spr_pal")
w971     Sprite layer priority from line buffer? (affected by mode 5, involves a latch and "spr_priority")
w972     Sprite layer color from line buffer? (affected by mode 5, involves a latch and "spr_index")
w973     Final sprite layer priority (forced to 0 in mode 4, used in layer mixing)
w974     Final sprite palette (forced to 01 in mode 4, used in layer mixing)
w975     l556 == 2'h3 (sprite S/H palette check?)
w976     l558 != 4'h0 (sprite not transparent pixel check?)
w977     l558 == 4'hE (sprite S/H highlight pixel check?)
w978     l558 == 4'hF (sprite S/H shadow pixel check?)
w979     Line buffer write data priority (odd?)
w980     Line buffer write data palette (odd?)
w982     Line buffer write data priority (even?)
w983     Line buffer write data palette (even?)
w985     VRAM read enable (high logic)
w986     VRAM lower byte write enable (high logic), goes to /WE0 (as low logic)
w987     VRAM upper byte write enable (high logic), goes to /WE1 (as low logic)
w990     Control pin direction of RD and AD (0: output, 1: input, I think?)
w991     VRAM write to lower byte (from w286, or l571 which is latched w286)
w999     VRAM write to upper byte (from w288, or l585 which is latched w288)
w1007    Alternate between /SE0 and /SE1 in 128k mode, or stick to /SE0 only when not 128k
w1009    /YS signal (see w1082 too)
w1010    Used for VRAM address computation (bit 1 in m5)
w1011    Used for VRAM address computation (w1010 OR bit 9 in m4)
w1012    Physical VRAM address (upper half, latched into l592)
w1013    VRAM address MSB to use
w1014    Physical VRAM address (lower half, latched into l593)
w1018    VRAM address bus output (connected to AD_o[7:0])
w1019    VRAM data bus output (connected to RD_o[7:0])
w1021    Set on CRAM bus access
w1022    [layer mux block]  a_pri ?  s_pri : ~b_pri
w1023    [layer mux block] ~a_pri &  s_pri &  b_pri
w1024    [layer mux block]  a_pri & ~s_pri & ~b_pri
w1025    [layer mux block] ~a_pri & ~s_pri &  b_pri
w1026    [layer mux block]  a_pri & ~s_pri &  b_pri
w1027    [layer mux block] ~a_pri & ~s_pri & ~b_pri & S/H enable
w1028    [layer mux block] ~a_pri &  s_pri & ~b_pri & S/H enable
w1029    S/H enable
w1030    Is it a S/H sprite pixel?
w1031    Is it a S/H sprite pixel OR no sprite pixel?
w1032    Set if plane A layer is transparent in this pixel
w1033    Set if plane B layer is transparent in this pixel
w1034    reg_test0[8:7] == 2'h1; (layer override: sprite)
w1035    reg_test0[8:7] == 2'h2; (layer override: plane A)
w1036    reg_test0[8:7] == 2'h3; (layer override: plane B)
w1037    reg_test0[8:7] == 2'h0; (layer override: none)
w1044    Set to output sprite plane to color bus (goes to l603)
w1050    Set to output plane A to color bus (goes to w1051)
w1051    Set to output plane A to color bus (after override is applied, goes to l604)
w1057    Set to output plane B to color bus (goes to w1058)
w1058    Set to output plane B to color bus (after override is applied, goes to l605)
w1061    Set to output background plane to color bus (goes to l606)
w1065    Shadow or highlight pixel color index (part of w1030's expression)
w1069    ??? (affected by layer override enable, involves BG color bit 6)
w1070    ??? (affected by layer override enable, involves BG color bit 7)
w1072    CRAM CPU access in mode 5?
w1073    CRAM CPU access in mode 4?
